iter	Passed	Remaining
448	1090	1337
449	1091	1333
450	1092	1330
451	1094	1326
452	1095	1322
453	1096	1318
454	1098	1315
455	1099	1311
456	1101	1308
457	1102	1304
458	1104	1301
459	1105	1297
460	1106	1294
461	1108	1290
462	1109	1287
463	1111	1283
464	1112	1280
465	1114	1277
466	1116	1274
467	1118	1271
468	1119	1267
469	1121	1264
470	1123	1261
471	1125	1259
472	1127	1255
473	1128	1252
474	1130	1249
475	1132	1246
476	1133	1242
477	1134	1239
478	1136	1235
479	1137	1232
480	1139	1229
481	1140	1225
482	1142	1222
483	1144	1219
484	1146	1216
485	1147	1213
486	1148	1210
487	1150	1206
488	1151	1203
489	1153	1200
490	1154	1196
491	1155	1193
492	1158	1190
493	1159	1187
494	1160	1184
495	1162	1181
496	1163	1177
497	1164	1174
498	1166	1171
499	1167	1167
500	1169	1164
501	1170	1161
502	1172	1158
503	1174	1155
504	1175	1152
505	1177	1149
506	1179	1147
507	1181	1143
508	1182	1140
509	1184	1137
510	1185	1134
511	1187	1131
512	1189	1128
513	1190	1125
514	1192	1122
515	1210	1135
516	1221	1141
517	1224	1139
518	1250	1158
519	1252	1156
520	1261	1160
521	1270	1163
522	1272	1160
523	1274	1157
524	1275	1154
525	1277	1151
526	1279	1148
527	1285	1148
528	1287	1145
529	1289	1143
530	1306	1153
531	1331	1170
532	1337	1172
533	1344	1173
534	1353	1176
535	1361	1178
536	1370	1181
537	1372	1178
538	1377	1178
539	1379	1175
540	1382	1172
541	1388	1173
542	1406	1183
543	1408	1180
544	1427	1192
545	1429	1188
546	1436	1189
547	1438	1186
548	1441	1184
549	1443	1180
550	1467	1195
551	1471	1194
552	1473	1191
553	1475	1187
554	1476	1183
555	1479	1181
556	1481	1178
557	1483	1175
558	1506	1188
559	1509	1185
560	1513	1184
561	1516	1182
562	1518	1178
563	1520	1175
564	1522	1172
565	1524	1169
566	1527	1166
567	1528	1162
568	1530	1159
569	1531	1155
570	1533	1152
571	1535	1148
572	1536	1145
573	1538	1141
574	1539	1137
575	1541	1134
576	1542	1131
577	1545	1128
578	1547	1125
579	1549	1121
580	1571	1133
581	1576	1132
582	1578	1129
583	1583	1127
584	1585	1124
585	1587	1121
586	1589	1118
587	1591	1115
588	1613	1125
589	1670	1160
590	1674	1158
591	1704	1174
592	1707	1172
593	1725	1179
594	1731	1178
595	1733	1174
596	1735	1171
597	1738	1168
598	1748	1170
599	1750	1166
600	1751	1162
601	1752	1158
602	1765	1162
603	1767	1158
604	1768	1154
605	1770	1151
606	1783	1154
607	1786	1151
608	1788	1148
609	1793	1146
610	1795	1142
611	1796	1139
612	1797	1135
613	1799	1131
614	1800	1127
615	1802	1123
616	1809	1123
617	1811	1119
618	1812	1115
619	1814	1111
620	1815	1108
621	1817	1104
622	1818	1100
623	1821	1097
624	1822	1093
625	1824	1089
626	1825	1086
627	1827	1082
628	1828	1078
629	1830	1074
630	1831	1071
631	1833	1067
632	1835	1063
633	1836	1060
634	1837	1056
635	1839	1052
636	1841	1049
637	1842	1045
638	1844	1041
639	1845	1038
640	1847	1034
641	1849	1031
642	1850	1027
643	1851	1023
644	1853	1020
645	1854	1016
646	1856	1012
647	1857	1009
648	1898	1026
649	1899	1022
650	1901	1019
651	1902	1015
652	1903	1011
653	1905	1008
654	1906	1004
655	1908	1000
656	1909	996
657	1911	993
658	1912	989
659	1914	986
660	1915	982
661	1916	978
662	1918	975
663	1919	971
664	1921	967
665	1923	964
666	1924	960
667	1926	957
668	1928	954
669	1931	951
670	1933	948
671	1936	945
672	1939	942
673	1963	949
674	1978	952
675	1981	949
676	1982	945
677	1984	942
678	2009	950
679	2011	946
680	2013	943
681	2015	939
682	2030	942
683	2032	938
684	2042	939
685	2044	935
686	2045	932
687	2048	928
688	2059	929
689	2061	926
690	2064	923
691	2068	920
692	2077	920
693	2085	919
694	2087	916
695	2089	912
696	2091	909
697	2092	905
698	2107	907
699	2109	904
700	2110	900
701	2112	896
702	2115	893
703	2118	890
704	2119	886
705	2121	883
706	2122	879
707	2124	876
708	2126	872
709	2130	870
710	2131	866
711	2133	862
712	2134	859
713	2136	855
714	2137	852
715	2139	848
716	2140	844
717	2141	841
718	2143	837
719	2145	834
720	2147	830
721	2148	827
722	2149	823
723	2151	820
724	2152	816
725	2154	813
726	2155	809
727	2157	806
728	2160	803
729	2161	799
730	2163	796
731	2164	792
732	2166	789
733	2167	785
734	2169	782
735	2170	778
736	2171	775
737	2175	772
738	2176	768
739	2178	765
740	2179	761
741	2181	758
742	2182	754
743	2183	751
744	2185	748
745	2187	744
746	2189	741
747	2191	738
748	2192	734
749	2194	731
750	2196	728
751	2197	724
752	2199	721
753	2200	717
754	2204	715
755	2205	711
756	2207	708
757	2208	705
758	2209	701
759	2211	698
760	2212	694
761	2213	691
762	2215	688
763	2217	685
764	2219	681
765	2221	678
766	2222	675
767	2224	671
768	2225	668
769	2226	665
770	2228	661
771	2229	658
772	2232	655
773	2234	652
774	2237	649
775	2238	646
776	2240	642
777	2241	639
778	2242	636
779	2243	632
780	2247	630
781	2249	627
782	2254	624
783	2255	621
784	2257	618
785	2258	614
786	2261	612
787	2263	609
788	2265	605
789	2266	602
790	2267	599
791	2269	595
792	2270	592
793	2271	589
794	2273	586
795	2276	583
796	2278	580
797	2279	577
798	2281	573
799	2282	570
800	2283	567
801	2285	564
802	2286	560
803	2288	557
804	2290	554
805	2292	551
806	2293	548
807	2295	545
808	2296	542
809	2298	539
810	2299	535
811	2301	532
812	2320	533
813	2322	530
814	2323	527
815	2324	524
816	2326	521
817	2327	517
818	2329	514
819	2331	511
820	2333	508
821	2335	505
822	2336	502
823	2337	499
824	2339	496
825	2340	493
826	2342	490
827	2344	487
828	2347	484
829	2348	481
830	2350	477
831	2351	474
832	2353	471
833	2354	468
834	2356	465
835	2357	462
836	2359	459
837	2361	456
838	2363	453
839	2364	450
840	2366	447
841	2367	444
842	2370	441
843	2375	439
844	2378	436
845	2379	433
846	2381	430
847	2382	427
848	2384	424
849	2385	420
850	2387	417
851	2388	414
852	2390	412
853	2392	408
854	2393	405
855	2395	402
856	2396	399
857	2397	396
858	2399	393
859	2400	390
860	2402	387
861	2404	384
862	2406	381
863	2407	378
864	2408	375
865	2410	372
866	2411	369
867	2413	366
868	2414	363
869	2415	360
870	2418	358
871	2419	355
872	2421	352
873	2422	349
874	2423	346
875	2425	343
876	2427	340
877	2428	337
878	2429	334
879	2431	331
880	2433	328
881	2435	325
882	2436	322
883	2438	319
884	2439	317
885	2440	314
886	2442	311
887	2443	308
888	2444	305
889	2447	302
890	2449	299
891	2450	296
892	2452	293
893	2455	291
894	2456	288
895	2458	285
896	2459	282
897	2460	279
898	2464	276
899	2465	273
900	2467	271
901	2468	268
902	2470	265
903	2471	262
904	2472	259
905	2474	256
906	2477	254
907	2479	251
908	2481	248
909	2482	245
910	2485	242
911	2486	239
912	2487	237
913	2489	234
914	2492	231
915	2495	228
916	2498	226
917	2500	223
918	2501	220
919	2502	217
920	2507	215
921	2509	212
922	2510	209
923	2511	206
924	2513	203
925	2515	201
926	2517	198
927	2518	195
928	2661	203
929	2663	200
930	2665	197
931	2713	197
932	2714	194
933	2722	192
934	2726	189
935	2728	186
936	2730	183
937	2737	180
938	2739	177
939	2742	175
940	2828	177
941	2833	174
942	2836	171
943	2849	169
944	2851	165
945	2853	162
946	2855	159
947	2857	156
948	2859	153
949	2863	150
950	2865	147
951	2870	144
952	2873	141
953	2915	140
954	2918	137
955	2920	134
956	2922	131
957	2927	128
958	2930	125
959	2932	122
960	2936	119
961	2938	116
962	2941	113
963	2944	109
964	2946	106
965	2948	103
966	2950	100
967	2952	97
968	2980	95
969	2994	92
970	2996	89
971	2999	86
972	3001	83
973	3004	80
974	3021	77
975	3024	74
976	3026	71
977	3028	68
978	3030	65
979	3034	61
980	3037	58
981	3039	55
982	3041	52
983	3043	49
984	3045	46
985	3050	43
986	3053	40
987	3055	37
988	3057	34
989	3060	30
990	3065	27
991	3067	24
992	3069	21
993	3071	18
994	3072	15
995	3074	12
996	3076	9
997	3078	6
998	3081	3
999	3082	0
